subject,baseline_2015_19,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Física,5.856,-0.596,0.244,0.034,0.304,0.014,0.584,1.824,0.204,0.444,0.234,-0.386
Matemáticas II,6.476,-0.126,0.674,-0.406,-0.166,0.024,1.124,1.484,0.144,0.724,0.394,0.274
Química,6.232,0.148,-1.032,0.358,0.138,0.388,0.818,1.058,0.738,0.978,0.528,-0.012
Biología,6.128,-0.738,-0.748,0.352,0.512,0.622,1.182,1.612,0.982,1.362,0.592,0.312
Historia de España,6.406,0.064,-0.086,0.124,0.064,-0.166,0.274,0.444,0.344,0.414,0.384,0.514
Lengua Castellana,6.25,-0.17,-0.24,-0.22,0.31,0.32,0.49,0.31,0.46,0.76,0.6,0.13
Dibujo Técnico II,6.172,-0.542,-0.692,0.168,0.228,0.838,1.558,1.878,1.568,0.888,0.598,0.868
Geografía,5.922,0.488,0.118,-0.122,0.078,-0.562,0.788,1.158,1.238,1.098,1.028,1.658
