subject,baseline_2015_19,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Física,5.765,0.176,0.096,-0.081,-0.022,-0.169,0.414,0.916,0.591,0.558,0.706,-0.059
Matemáticas II,6.037,-0.152,0.082,0.156,0.001,-0.088,0.481,0.965,0.498,0.756,0.632,0.106
Química,5.962,0.055,-0.155,-0.042,0.096,0.047,0.583,0.943,0.689,0.686,0.817,0.203
Biología,6.367,-0.078,-0.256,0.199,0.104,0.031,0.331,0.548,0.457,0.435,0.171,-0.21
Historia de España,6.278,0.006,0.019,-0.049,-0.047,0.071,0.292,0.652,0.483,0.621,0.745,0.531
Lengua Castellana,6.455,-0.078,-0.116,0.057,0.076,0.062,0.225,0.315,0.38,0.39,0.471,0.132
Dibujo Técnico II,6.283,0.273,0.208,-0.483,0.154,-0.152,0.452,0.592,0.574,0.665,0.437,0.182
Geografía,6.014,0.161,0.316,-0.175,-0.094,-0.207,0.21,0.62,0.511,0.652,0.496,0.241
