ccaa,baseline_2015_19,d2024,d2025,d2026,yoy_2026,basis
Madrid (Comunidad de),5.683,0.587,-0.033,1.017,1.05,"chart label, 1 decimal"
Castilla-La Mancha,5.941,0.629,-0.081,0.859,0.94,presented
Cataluña,6.21,-0.27,-0.17,0.63,0.8,eligible students (aptes)
Andalucía,5.379,0.341,0.311,0.481,0.17,presented (N unpublished)
Asturias (Principado de),6.144,0.896,-0.654,0.476,1.13,presented (N unpublished)
Comunitat Valenciana,6.058,1.002,-0.168,0.338,0.506,presented
Extremadura,6.046,0.404,0.044,-0.776,-0.82,presented (N unpublished)
Canarias,5.105,0.775,-0.025,-0.857,-0.832,"ULL+ULPGC pooled, presented-weighted"
País Vasco,5.9,0.19,-0.43,-1.91,-1.48,presented
