ccaa,year,fisica,candidates,take_up,mean,pass_pct,d_take_up,d_mean,d_take_up_nc,d_mean_nc
Andalucía,2015,5524.0,35449.0,0.15582950153741995,5.63,65.08,-0.34648387175727613,-0.07545454545454522,-0.1079087991475731,0.201666666666668
Andalucía,2016,5528.0,36825.0,0.1501154107264087,5.38,60.33,-0.6948050022686799,-0.3254545454545452,-0.4214357212445895,-0.04833333333333201
Andalucía,2017,5391.0,33915.0,0.1589562140645732,5.5,62.42,-0.1558848633999974,-0.2054545454545451,0.06365104953936918,0.0716666666666681
Andalucía,2018,5410.0,37085.0,0.14588108399622488,4.65,48.45,-0.9529222640332434,-1.0554545454545448,-0.6537693453986487,-0.7783333333333315
Andalucía,2019,5358.0,37460.0,0.14303256807261078,5.72,66.79,-1.1265628867690591,0.014545454545454639,-0.8100648015986198,0.29166666666666785
Andalucía,2020,6170.0,43576.0,0.1415917018542317,5.73,64.9,-1.214395608841719,0.024545454545455314,,
Andalucía,2021,6495.0,39264.0,0.16541870415647922,6.41,75.66,0.2380573977894206,0.704545454545455,,
Andalucía,2022,6833.0,39492.0,0.17302238428036057,6.04,71.72,0.7015646370677399,0.3345454545454549,,
Andalucía,2023,7341.0,40879.0,0.17957875681890456,6.29,75.7,1.1012298104455844,0.5845454545454549,,
Andalucía,2024,7369.0,43281.0,0.17025946720269863,5.72,66.14,0.5331419724951147,0.014545454545454639,,
Andalucía,2025,8017.0,41547.0,0.19296218740221918,5.69,64.66,1.9170606792721205,-0.015454545454544721,1.9295276178500604,0.2616666666666685
Aragón,2015,1188.0,5229.0,0.22719449225473323,6.57,77.72,-1.3762159336474786,-0.19090909090909136,-1.5083094160115977,0.3583333333333334
Aragón,2016,1210.0,5108.0,0.23688332028191073,6.3,75.68,-0.5991868936386363,-0.4609090909090918,-0.3641264981150892,0.08833333333333293
Aragón,2017,1256.0,5084.0,0.24704956726986624,6.16,75.22,0.21613040948466972,-0.6009090909090915,0.8364362644922398,-0.05166666666666675
Aragón,2018,1372.0,5529.0,0.24814613854223186,5.92,70.15,0.304073731491981,-0.8409090909090917,0.9659336727006803,-0.29166666666666696
Aragón,2019,1349.0,5755.0,0.23440486533449176,5.85,69.06,-0.7979551515843964,-0.910909090909092,-0.6568147165103729,-0.36166666666666725
Aragón,2020,1515.0,6687.0,0.2265589950650516,6.61,79.93,-1.4271818265131089,-0.15090909090909133,,
Aragón,2021,1480.0,6046.0,0.24478994376447238,7.38,86.88,0.034912095127913476,0.6190909090909082,,
Aragón,2022,1508.0,6001.0,0.25129145142476256,7.53,91.02,0.556322965639266,0.7690909090909086,,
Aragón,2023,1594.0,5965.0,0.2672254819782062,7.8,93.1,1.8342076003633208,1.0390909090909082,,
Aragón,2024,1615.0,6254.0,0.2582347297729453,7.78,93.07,1.113163162850849,1.0190909090909086,,
Aragón,2025,1539.0,6253.0,0.24612186150647689,6.47,79.37,0.14172984042563824,-0.2909090909090919,0.7268806934441429,0.25833333333333286
Asturias (Principado de),2015,573.0,3632.0,0.15776431718061673,7.24,86.84,-1.768744602851023,0.963636363636363,-1.773448136623584,1.1833333333333327
Asturias (Principado de),2016,702.0,3716.0,0.18891280947255112,6.2,73.34,-0.18361434053765285,-0.07636363636363708,0.40472695631085115,0.14333333333333265
Asturias (Principado de),2017,686.0,3429.0,0.200058326042578,6.04,73.66,0.3835750899709773,-0.23636363636363722,1.1841189847656877,-0.016666666666667496
Asturias (Principado de),2018,672.0,3660.0,0.18360655737704917,5.43,60.43,-0.4536466970707443,-0.8463636363636375,0.033667386463025056,-0.6266666666666678
Asturias (Principado de),2019,666.0,3723.0,0.1788879935535858,5.94,70.03,-0.6937719089470704,-0.33636363636363686,-0.2962958778375949,-0.11666666666666714
Asturias (Principado de),2020,738.0,4390.0,0.16810933940774486,6.03,69.71,-1.2422919051462478,-0.246363636363637,,
Asturias (Principado de),2021,881.0,4215.0,0.20901542111506524,7.1,85.91,0.8393969104542104,0.8236363636363624,,
Asturias (Principado de),2022,849.0,3854.0,0.22029060716139076,6.2,71.92,1.413185151879686,-0.07636363636363708,,
Asturias (Principado de),2023,881.0,4155.0,0.21203369434416366,6.33,75.29,0.9929952352313319,0.053636363636362816,,
Asturias (Principado de),2024,919.0,4386.0,0.20953032375740993,7.04,81.42,0.8656000329962612,0.7636363636363628,,
Asturias (Principado de),2025,850.0,4485.0,0.189520624303233,5.49,65.98,-0.15268296597972,-0.786363636363637,0.44723068692160134,-0.5666666666666673
Balears (Illes),2015,722.0,3394.0,0.21272834413671185,5.73,66.8,-1.0404333466227222,0.2790909090909084,-0.8718283968282763,0.535000000000001
Balears (Illes),2016,798.0,3647.0,0.21880998080614203,5.17,58.81,-0.7472179698066456,-0.2809090909090921,-0.4708588436586276,-0.024999999999999467
Balears (Illes),2017,786.0,3518.0,0.22342239909039227,4.91,50.0,-0.5248383639929834,-0.5409090909090919,-0.16675660950779655,-0.28499999999999925
Balears (Illes),2018,836.0,3674.0,0.2275449101796407,5.28,59.86,-0.3260787688105746,-0.1709090909090918,0.10504545944870788,0.08500000000000085
Balears (Illes),2019,824.0,3779.0,0.21804710240804445,5.63,63.95,-0.7839988051510866,0.17909090909090786,-0.5211563255758799,0.4350000000000005
Balears (Illes),2020,1001.0,4789.0,0.20902067237419086,5.35,58.15,-1.2191921959342151,-0.10090909090909239,,
Balears (Illes),2021,998.0,4296.0,0.23230912476722532,5.37,59.15,-0.09638057217987107,-0.08090909090909193,,
Balears (Illes),2022,983.0,3895.0,0.25237483953786904,5.48,60.47,0.8710524458319531,0.02909090909090839,,
Balears (Illes),2023,1073.0,4053.0,0.26474216629657044,6.49,77.87,1.467321274910153,1.0390909090909082,,
Balears (Illes),2024,1104.0,4194.0,0.2632331902718169,6.1,71.47,1.3945686594951996,0.6490909090909076,,
Balears (Illes),2025,1039.0,4072.0,0.2551571709233792,4.45,46.77,1.0051976422607942,-1.0009090909090919,1.9255547161218818,-0.7449999999999992
Canarias,2015,1503.0,8150.0,0.18441717791411044,5.67,61.28,-0.7036885801683768,0.28545454545454607,-1.598490582033199,0.5800000000000001
Canarias,2016,1611.0,8290.0,0.19433051869722556,5.58,63.04,0.42397567189238133,0.1954545454545462,0.10322274665162108,0.4900000000000002
Canarias,2017,1706.0,8484.0,0.20108439415370108,5.25,59.83,1.1922438149698482,-0.13454545454545386,1.2625856835272868,0.16000000000000014
Canarias,2018,1759.0,8922.0,0.1971531046850482,5.36,58.32,0.7450510173759662,-0.024545454545453538,0.5877447964754203,0.27000000000000046
Canarias,2019,1708.0,8990.0,0.18998887652947719,3.6,32.69,-0.06989564504533355,-1.7845454545454538,-0.6420588397356298,-1.4899999999999998
Canarias,2020,1787.0,10590.0,0.1687440982058546,5.25,56.26,-2.4865357649239073,-0.13454545454545386,,
Canarias,2021,1875.0,10082.0,0.18597500495933347,6.27,70.08,-0.5264823377698953,0.8854545454545457,,
Canarias,2022,1891.0,9877.0,0.1914548952110965,6.25,71.7,0.09686719467577232,0.8654545454545461,,
Canarias,2023,1925.0,9758.0,0.19727403156384504,5.04,54.83,0.7588067150076605,-0.3445454545454538,,
Canarias,2024,1832.0,9601.0,0.19081345693156962,5.88,65.68,0.023902183833230665,0.49545454545454604,,
Canarias,2025,1861.0,9524.0,0.19540109197816044,5.08,53.99,0.5457557301526504,-0.3045454545454538,0.2869961951144957,-0.009999999999999787
Cantabria,2015,574.0,2132.0,0.2692307692307692,6.99,84.94,0.9073252378136912,0.31545454545454543,0.8488696099892791,0.6516666666666664
Cantabria,2016,569.0,2176.0,0.2614889705882353,7.95,92.44,0.5697969131575227,1.2754545454545454,0.15605574123928737,1.6116666666666664
Cantabria,2017,543.0,2101.0,0.2584483579247977,5.98,69.13,0.43723173733650633,-0.6945454545454544,-0.1160488070697747,-0.3583333333333334
Cantabria,2018,629.0,2463.0,0.2553796183516037,6.12,71.85,0.3034402794631935,-0.5545454545454547,-0.39067043365277315,-0.2183333333333337
Cantabria,2019,550.0,2280.0,0.2412280701754386,5.57,62.28,-0.3135414540773057,-1.1045454545454545,-1.6570930433632491,-0.7683333333333335
Cantabria,2020,571.0,2887.0,0.19778316591617595,7.05,81.1,-2.207660175909237,0.37545454545454504,,
Cantabria,2021,628.0,2725.0,0.23045871559633027,7.76,88.32,-0.7830657050367605,1.085454545454545,,
Cantabria,2022,606.0,2642.0,0.22937168811506434,6.56,75.61,-0.830458123975574,-0.11454545454545517,,
Cantabria,2023,688.0,2823.0,0.24371236273467942,7.09,85.25,-0.20523082185943048,0.4154545454545451,,
Cantabria,2024,804.0,2947.0,0.27281981676280964,6.93,78.04,1.0638011753232801,0.25545454545454493,,
Cantabria,2025,769.0,2820.0,0.2726950354609929,5.42,62.98,1.0583609377641126,-1.2545454545454549,1.1588869328572429,-0.9183333333333339
Castilla y León,2015,1657.0,9330.0,0.17759914255091103,5.17,55.18,-1.4721215835610852,-0.6027272727272726,-1.306938702357261,-0.40999999999999925
Castilla y León,2016,1755.0,9443.0,0.18585195382823255,6.04,76.36,-1.0030743835275846,0.26727272727272755,-0.8146147823952408,0.46000000000000085
Castilla y León,2017,1979.0,8879.0,0.2228854600743327,4.7,49.06,1.1017189806306305,-1.0727272727272723,1.3946300860922138,-0.879999999999999
Castilla y León,2018,1839.0,9440.0,0.1948093220338983,5.67,66.8,-0.4939838039232716,-0.10272727272727256,-0.2802603085840104,0.09000000000000075
Castilla y León,2019,1895.0,9278.0,0.2042466048717396,5.71,68.72,0.042382646522243696,-0.06272727272727252,0.28272361584958683,0.13000000000000078
Castilla y León,2020,2070.0,11619.0,0.17815646785437644,5.47,62.09,-1.4404460896822144,-0.30272727272727273,,
Castilla y León,2021,2095.0,10290.0,0.20359572400388726,6.33,77.5,0.005389937206273702,0.5572727272727276,,
Castilla y León,2022,2113.0,10056.0,0.21012330946698488,6.4,73.68,0.37638420589370924,0.6272727272727279,,
Castilla y León,2023,2337.0,10350.0,0.22579710144927537,5.7,67.32,1.2672016493269873,-0.07272727272727231,,
Castilla y León,2024,2295.0,10255.0,0.22379327157484155,6.12,74.61,1.1533143010812503,0.3472727272727276,,
Castilla y León,2025,2198.0,10385.0,0.21165142031776601,6.19,75.66,0.4632341400330404,0.4172727272727279,0.7244600913947081,0.6100000000000012
Castilla-La Mancha,2015,1623.0,7124.0,0.22782144862436834,6.28,71.84,-0.7954060299007241,0.1990909090909092,-0.7155524125510558,0.36666666666666625
Castilla-La Mancha,2016,1651.0,7390.0,0.22341001353179973,5.72,66.18,-1.1817537714194124,-0.3609090909090913,-1.0902443219717728,-0.19333333333333425
Castilla-La Mancha,2017,1787.0,7234.0,0.2470279236936688,6.08,69.3,0.8866720489673979,-0.0009090909090909705,0.9157785865337182,0.16666666666666607
Castilla-La Mancha,2018,1885.0,7466.0,0.25247789981248325,5.42,63.06,1.3639738613372017,-0.6609090909090911,1.3786805482322821,-0.49333333333333407
Castilla-La Mancha,2019,1721.0,7204.0,0.23889505830094393,6.12,71.1,0.17440628723197585,0.039090909090909065,0.22500136798296025,0.2066666666666661
Castilla-La Mancha,2020,1915.0,8723.0,0.21953456379685887,6.31,71.03,-1.5211606131942954,0.22909090909090857,,
Castilla-La Mancha,2021,1783.0,7645.0,0.23322432962720732,6.08,71.68,-0.32222874646807653,-0.0009090909090909705,,
Castilla-La Mancha,2022,1940.0,7769.0,0.2497103874372506,6.48,75.12,1.1215987309408961,0.3990909090909094,,
Castilla-La Mancha,2023,1955.0,7876.0,0.24822244794311835,5.97,71.22,0.9912869274094661,-0.11090909090909129,,
Castilla-La Mancha,2024,1998.0,8403.0,0.23777222420564084,6.57,76.55,0.07606993914622401,0.48909090909090924,,
