ccaa,year,extraordinary,ordinary,gap
Madrid (Comunidad de),2024,4.040,6.270,2.230
Madrid (Comunidad de),2025,3.850,5.650,1.800
Murcia (Región de),2015,4.886,5.928,1.042
Murcia (Región de),2016,3.418,5.266,1.848
Murcia (Región de),2017,5.180,5.800,0.620
Murcia (Región de),2018,4.190,5.480,1.290
Murcia (Región de),2019,4.730,5.470,0.740
Murcia (Región de),2020,4.620,5.450,0.830
Murcia (Región de),2021,4.690,6.270,1.580
Murcia (Región de),2022,5.720,5.380,-0.340
Murcia (Región de),2023,5.300,5.420,0.120
Murcia (Región de),2024,4.680,6.470,1.790
Murcia (Región de),2025,4.390,5.310,0.920
Navarra (Comunidad Foral de),2015,3.768,5.354,1.586
Navarra (Comunidad Foral de),2016,4.635,5.260,0.625
Navarra (Comunidad Foral de),2017,3.400,4.730,1.330
Navarra (Comunidad Foral de),2018,3.630,5.380,1.750
Navarra (Comunidad Foral de),2019,4.660,5.350,0.690
Navarra (Comunidad Foral de),2020,3.550,6.110,2.560
Navarra (Comunidad Foral de),2021,4.850,6.880,2.030
Navarra (Comunidad Foral de),2022,4.400,6.090,1.690
Navarra (Comunidad Foral de),2023,3.480,6.130,2.650
Navarra (Comunidad Foral de),2024,3.670,6.800,3.130
Navarra (Comunidad Foral de),2025,3.710,5.360,1.650
País Vasco,2015,3.640,5.440,1.800
País Vasco,2016,3.012,6.139,3.127
País Vasco,2017,3.930,5.890,1.960
País Vasco,2018,3.350,6.160,2.810
País Vasco,2019,2.380,5.870,3.490
País Vasco,2020,4.670,6.440,1.770
País Vasco,2021,4.660,7.680,3.020
País Vasco,2022,4.880,6.060,1.180
País Vasco,2023,4.060,6.300,2.240
País Vasco,2024,4.110,6.090,1.980
País Vasco,2025,3.210,5.470,2.260
Rioja (La),2015,4.058,5.786,1.728
Rioja (La),2016,4.676,6.102,1.426
Rioja (La),2017,4.480,6.330,1.850
Rioja (La),2018,3.590,6.610,3.020
Rioja (La),2019,5.080,6.150,1.070
Rioja (La),2020,5.300,6.970,1.670
Rioja (La),2021,6.280,8.310,2.030
Rioja (La),2022,5.060,7.430,2.370
Rioja (La),2023,5.380,7.850,2.470
Rioja (La),2024,5.180,7.660,2.480
Rioja (La),2025,4.930,6.390,1.460
