ccaa,opt_2025,opt_2026,comp_items_2025,comp_items_2026,comp_exp_2025,comp_exp_2026,subst_exp_2025,subst_exp_2026,ctx_exp_2025,ctx_exp_2026,oblig_comp_2025,oblig_comp_2026,crit_2025,crit_2026,d_opt,d_comp_exp,d_subst_exp,d_ctx_exp,d_crit,mean_2025,mean_2026,delta
Asturias,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,62.5,0.0,0.0,0.75,0.25,0.0,0.0,0.0,12.5,-0.5,5.49,6.62,1.13
Madrid,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,37.5,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,-25.0,0.0,5.65,6.7,1.05
Castilla-La Mancha,100.0,70.0,0.0,11.11111111111111,0.0,20.0,0.0,20.0,75.0,30.0,0.0,2.0,1.25,0.6666666666666666,-30.0,20.0,20.0,-45.0,-0.5833333333333334,5.86,6.8,0.94
Cataluña,50.0,50.0,66.66666666666666,50.0,75.0,37.5,87.5,87.5,87.5,87.5,5.0,0.0,2.0,2.3333333333333335,0.0,-37.5,0.0,0.0,0.3333333333333335,6.04,6.84,0.8
Comunitat Valenciana,85.0,80.0,9.090909090909092,0.0,15.0,0.0,15.0,0.0,50.0,30.0,1.5,0.0,1.0909090909090908,1.2857142857142858,-5.0,-15.0,-15.0,-20.0,0.19480519480519498,5.89,6.396,0.506
Andalucía,60.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,37.5,0.0,0.0,0.6666666666666666,0.9285714285714286,15.0,0.0,0.0,7.5,0.261904761904762,5.69,5.86,0.17
Extremadura,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,75.0,0.0,0.0,1.0,0.8571428571428571,0.0,0.0,0.0,37.5,-0.1428571428571429,6.09,5.27,-0.82
Canarias,100.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,40.0,0.0,0.0,0.375,0.25,-30.0,0.0,0.0,27.5,-0.125,5.08,4.248,-0.832
País Vasco,75.0,50.0,14.285714285714285,50.0,25.0,62.5,25.0,75.0,25.0,100.0,2.5,5.0,0.8571428571428571,2.6666666666666665,-25.0,37.5,50.0,75.0,1.8095238095238093,5.47,3.99,-1.48
