year,pv,field,total,common,basque_specific
2016,6.139,5.792888888888889,0.6989999999999998,-0.2417777777777772,0.940777777777777
2017,5.89,5.8566666666666665,-0.24900000000000055,0.06377777777777727,-0.3127777777777778
2018,6.16,5.765555555555554,0.27000000000000046,-0.09111111111111203,0.3611111111111125
2019,5.87,5.697777777777777,-0.29000000000000004,-0.06777777777777771,-0.22222222222222232
2020,6.44,6.360000000000001,0.5700000000000003,0.6622222222222245,-0.0922222222222242
2021,7.68,6.887777777777777,1.2399999999999993,0.5277777777777759,0.7122222222222234
2022,6.06,6.45888888888889,-1.62,-0.42888888888888754,-1.1911111111111126
2023,6.3,6.369999999999999,0.2400000000000002,-0.08888888888889035,0.32888888888889056
2024,6.09,6.335555555555555,-0.20999999999999996,-0.0344444444444445,-0.17555555555555546
2025,5.47,5.688888888888889,-0.6200000000000001,-0.6466666666666656,0.026666666666665506
2026,3.99,5.8582222222222216,-1.4799999999999995,0.16933333333333245,-1.649333333333332
