ccaa,year,sitting,phase,[0-5),[5-6),[6-7),[7-8),[8-9),[9-10]
Galicia,2021,extraordinary,specific,69.33,15.97,5.88,3.78,3.78,1.26
Galicia,2021,ordinary,specific,39,15.35,12.37,11.77,10.33,11.18
Galicia,2022,extraordinary,specific,82.16,8.92,3.29,4.23,0.47,0.94
Galicia,2022,ordinary,specific,34.79,12.44,12.49,12.82,12.76,14.7
Galicia,2023,extraordinary,specific,59.03,17.62,6.61,7.05,6.17,3.52
Galicia,2023,ordinary,specific,50.37,15.31,10.21,10.27,8.34,5.5
Galicia,2024,extraordinary,specific,42.02,19.68,16.49,10.11,6.91,4.79
Galicia,2024,ordinary,specific,38.14,17.2,12.85,11.71,11.41,8.69
Galicia,2025,extraordinary,specific,62.25,15.2,5.88,7.84,5.88,2.94
Galicia,2025,ordinary,specific,31.9,17.62,16.95,13.97,12.27,7.29
Madrid (Comunidad de),2015,extraordinary,general,67,13.3,9.85,4.93,2.96,1.97
Madrid (Comunidad de),2015,extraordinary,specific,65.46,12.23,8.74,6.32,3.09,4.17
Madrid (Comunidad de),2015,ordinary,general,35.97,16.43,14.74,14.3,10.3,8.26
Madrid (Comunidad de),2015,ordinary,specific,32.14,15.25,14.38,13.95,12.88,11.4
Madrid (Comunidad de),2016,extraordinary,general,65.05,23.12,5.91,2.69,2.69,0.54
Madrid (Comunidad de),2016,extraordinary,specific,64.49,14.01,8.79,4.39,4.75,3.56
Madrid (Comunidad de),2016,ordinary,general,38.58,12.99,14.07,12.11,11.71,10.53
Madrid (Comunidad de),2016,ordinary,specific,33.39,13.59,13.23,12.83,12.47,14.48
Madrid (Comunidad de),2017,extraordinary,specific,53.83,17.83,13.49,7.77,4.91,2.17
Madrid (Comunidad de),2017,ordinary,specific,32.1,14.78,15.11,14.73,12.61,10.66
Madrid (Comunidad de),2018,extraordinary,specific,68.46,10.93,7.4,6.14,4.12,2.94
Madrid (Comunidad de),2018,ordinary,specific,37.43,13.84,12.61,12.44,11.78,11.89
Madrid (Comunidad de),2019,extraordinary,specific,52.3,17.61,10.67,7.55,6.76,5.12
Madrid (Comunidad de),2019,ordinary,specific,42.96,13.71,11.72,11.83,9.55,10.23
Madrid (Comunidad de),2020,extraordinary,specific,65.3,9.96,9.61,5.34,6.41,3.38
Madrid (Comunidad de),2020,ordinary,specific,15.81,8.32,9.34,13.25,18.4,34.87
Madrid (Comunidad de),2021,extraordinary,specific,66.69,11.27,7.65,5.26,4.61,4.52
Madrid (Comunidad de),2021,ordinary,specific,18.54,9.15,10.44,13.96,18.16,29.75
Madrid (Comunidad de),2022,extraordinary,specific,43.3,15.12,10.76,10.42,9.91,10.5
Madrid (Comunidad de),2022,ordinary,specific,30.82,14.27,14.81,15.16,12.84,12.1
Madrid (Comunidad de),2023,extraordinary,specific,64.16,10.31,8.27,6.63,5.81,4.83
Madrid (Comunidad de),2023,ordinary,specific,19.23,11.77,13.77,16.14,17.92,21.18
Madrid (Comunidad de),2024,extraordinary,specific,61.93,14.2,8.2,5.71,4.1,5.86
Madrid (Comunidad de),2024,ordinary,specific,24.53,14.86,15.59,17.59,15.45,11.98
Madrid (Comunidad de),2025,extraordinary,specific,65.61,10.77,7.9,7.31,4.28,4.13
Madrid (Comunidad de),2025,ordinary,specific,38.24,12.54,11.85,11.89,11.07,14.42
Murcia (Región de),2015,extraordinary,general,52.54,20.34,13.56,6.78,3.39,3.39
Murcia (Región de),2015,extraordinary,specific,51.28,14.74,5.13,9.62,6.41,12.82
Murcia (Región de),2015,ordinary,general,30.08,18.66,18.11,15.04,10.58,7.52
Murcia (Región de),2015,ordinary,specific,29.04,17.81,13.48,13.48,15.26,10.93
Murcia (Región de),2016,extraordinary,general,71.43,16.07,8.93,3.57,,
Murcia (Región de),2016,extraordinary,specific,67.97,11.76,7.19,5.23,5.88,1.96
Murcia (Región de),2016,ordinary,general,47.88,14.73,10.76,13.31,9.07,4.25
Murcia (Región de),2016,ordinary,specific,39.75,16.84,14.23,12.45,8.58,8.16
Murcia (Región de),2017,extraordinary,specific,43.55,16.94,12.9,11.29,4.84,10.48
Murcia (Región de),2017,ordinary,specific,30.37,20,12.78,15.27,12.37,9.21
Murcia (Región de),2018,extraordinary,specific,55.93,22.03,11.86,5.93,4.24,
Murcia (Región de),2018,ordinary,specific,37.92,16.61,12.72,11.29,11.53,9.94
Murcia (Región de),2019,extraordinary,specific,50.37,11.85,12.59,11.11,6.67,7.41
Murcia (Región de),2019,ordinary,specific,37.34,15.51,13.55,13.9,10.78,8.91
Murcia (Región de),2020,extraordinary,specific,52.69,16.13,6.45,10.75,7.53,6.45
Murcia (Región de),2020,ordinary,specific,37.61,15.99,11.1,13.09,12.76,9.44
Murcia (Región de),2021,extraordinary,specific,52.31,15.38,9.23,6.92,7.69,8.46
Murcia (Región de),2021,ordinary,specific,28.77,12.35,12.02,11.44,12.6,22.8
Murcia (Región de),2022,extraordinary,specific,34.81,13.29,14.56,10.13,13.92,13.29
Murcia (Región de),2022,ordinary,specific,38.42,17.08,12.75,12.75,9.67,9.33
Murcia (Región de),2023,extraordinary,specific,41.88,11.97,10.26,15.38,13.68,6.84
Murcia (Región de),2023,ordinary,specific,38.66,14.9,13.31,13.47,12.38,7.28
Murcia (Región de),2024,extraordinary,specific,53.33,7.5,15.83,12.5,5.83,5
Murcia (Región de),2024,ordinary,specific,23.94,12.73,10.95,16.3,19.1,16.98
Murcia (Región de),2025,extraordinary,specific,55.67,15.27,13.3,6.9,5.42,3.45
Murcia (Región de),2025,ordinary,specific,39.49,18.05,11.68,12.24,9.91,8.63
Navarra (Comunidad Foral de),2015,extraordinary,specific,69.33,20,6.67,2.67,,1.33
Navarra (Comunidad Foral de),2015,ordinary,general,30.83,10,16.67,13.33,15.83,13.33
Navarra (Comunidad Foral de),2015,ordinary,specific,40.31,18.6,14.34,12.6,9.3,4.84
Navarra (Comunidad Foral de),2016,extraordinary,specific,48.39,27.42,12.9,9.68,1.61,
Navarra (Comunidad Foral de),2016,ordinary,general,40.36,16.87,13.86,10.24,11.45,7.23
Navarra (Comunidad Foral de),2016,ordinary,specific,39.28,21.02,13.59,11.04,11.04,4.03
Navarra (Comunidad Foral de),2017,extraordinary,specific,75.68,13.51,4.05,2.7,2.7,1.35
Navarra (Comunidad Foral de),2017,ordinary,specific,47.83,18.58,12.54,8.98,7.28,4.8
Navarra (Comunidad Foral de),2018,extraordinary,specific,63.64,24.24,9.09,3.03,,
Navarra (Comunidad Foral de),2018,ordinary,specific,40.43,14.24,13.42,11.95,11.29,8.67
Navarra (Comunidad Foral de),2019,extraordinary,specific,45.65,26.09,17.39,6.52,4.35,
Navarra (Comunidad Foral de),2019,ordinary,specific,38.52,17.5,14.29,13.32,8.99,7.38
Navarra (Comunidad Foral de),2020,extraordinary,specific,65,15,12.5,2.5,2.5,2.5
Navarra (Comunidad Foral de),2020,ordinary,specific,29.51,13.07,12.94,15.09,13.34,16.04
Navarra (Comunidad Foral de),2021,extraordinary,specific,53.23,16.13,9.68,11.29,3.23,6.45
Navarra (Comunidad Foral de),2021,ordinary,specific,18.48,12.63,13.45,14.04,17.89,23.51
Navarra (Comunidad Foral de),2022,extraordinary,specific,56.82,9.09,13.64,6.82,4.55,9.09
Navarra (Comunidad Foral de),2022,ordinary,specific,30.21,13.5,14.65,15.04,12.98,13.62
Navarra (Comunidad Foral de),2023,extraordinary,specific,73.21,14.29,7.14,,5.36,
Navarra (Comunidad Foral de),2023,ordinary,specific,26.32,15.63,16.47,13.34,15.99,12.26
Navarra (Comunidad Foral de),2024,extraordinary,specific,63.16,24.56,8.77,1.75,1.75,
Navarra (Comunidad Foral de),2024,ordinary,specific,21.38,10.17,12.39,13.95,17.73,24.38
Navarra (Comunidad Foral de),2025,extraordinary,specific,64.18,16.42,10.45,2.99,2.99,2.99
Navarra (Comunidad Foral de),2025,ordinary,specific,39.07,15.14,13.2,12.42,12.68,7.5
País Vasco,2015,extraordinary,general,77.01,6.9,9.2,3.45,2.3,1.15
País Vasco,2015,extraordinary,specific,66.45,15.13,7.89,5.26,2.63,2.63
País Vasco,2015,ordinary,general,42.35,17.08,11.61,13.8,7.79,7.38
País Vasco,2015,ordinary,specific,36.41,16.33,14.41,13.25,11.13,8.47
País Vasco,2016,extraordinary,general,76.36,10.91,3.64,3.64,3.64,1.82
País Vasco,2016,extraordinary,specific,73.28,17.24,4.31,2.59,2.59,
País Vasco,2016,ordinary,general,27.97,16.23,16.1,13.23,13.92,12.55
País Vasco,2016,ordinary,specific,27.68,14.54,11.47,14.24,16.44,15.63
País Vasco,2017,extraordinary,specific,60.16,18.7,9.76,7.32,2.44,1.63
País Vasco,2017,ordinary,specific,32.98,14.2,13.19,13.02,12.3,14.31
País Vasco,2018,extraordinary,specific,73.33,10.48,7.62,5.71,0.95,1.9
País Vasco,2018,ordinary,specific,29.33,12.81,13.84,12.98,12.41,18.64
País Vasco,2019,extraordinary,specific,80.49,10.98,2.44,4.88,,1.22
País Vasco,2019,ordinary,specific,33.75,13.81,12.97,11.77,12.31,15.38
País Vasco,2020,extraordinary,specific,48.89,11.11,20,11.11,6.67,2.22
País Vasco,2020,ordinary,specific,24.85,11.6,13.13,15.69,16.73,18.01
País Vasco,2021,extraordinary,specific,51.25,16.25,11.25,10,5,6.25
País Vasco,2021,ordinary,specific,10.6,7.84,9.86,15.22,20.46,36.02
País Vasco,2022,extraordinary,specific,45.71,19.05,9.52,17.14,5.71,2.86
País Vasco,2022,ordinary,specific,30.65,13.15,13.38,13.15,12.51,17.16
País Vasco,2023,extraordinary,specific,61.73,12.35,6.17,13.58,2.47,3.7
País Vasco,2023,ordinary,specific,29.29,12.35,11.09,12.57,14.54,20.16
País Vasco,2024,extraordinary,specific,56.03,18.97,6.03,9.48,6.03,3.45
País Vasco,2024,ordinary,specific,27.01,16,13.76,17.56,15.32,10.35
País Vasco,2025,extraordinary,specific,80,8,5,6,,1
País Vasco,2025,ordinary,specific,37.69,18.04,14.12,12.7,10.74,6.72
Rioja (La),2015,ordinary,general,32,14,18,10,16,10
Rioja (La),2015,ordinary,specific,33.1,16.9,18.31,9.86,10.56,11.27
Rioja (La),2016,ordinary,general,18.64,18.64,15.25,15.25,23.73,8.47
Rioja (La),2016,ordinary,specific,28.39,21.29,18.71,6.45,13.55,11.61
Rioja (La),2017,extraordinary,specific,57.58,18.18,9.09,,6.06,9.09
Rioja (La),2017,ordinary,specific,24.5,14.86,16.87,14.46,14.46,14.86
Rioja (La),2018,extraordinary,specific,76.47,14.71,5.88,,,2.94
Rioja (La),2018,ordinary,specific,20.64,12.46,13.52,21.71,17.08,14.59
Rioja (La),2019,extraordinary,specific,37.21,30.23,16.28,6.98,6.98,2.33
Rioja (La),2019,ordinary,specific,25.19,18.52,14.44,16.67,12.96,12.22
Rioja (La),2020,ordinary,specific,20.06,9.88,9.57,14.51,18.52,27.47
Rioja (La),2021,extraordinary,specific,22.86,25.71,8.57,14.29,14.29,14.29
Rioja (La),2021,ordinary,specific,5.56,5.28,9.17,10,18.89,51.11
Rioja (La),2022,extraordinary,specific,53.33,8.89,8.89,15.56,6.67,6.67
Rioja (La),2022,ordinary,specific,14.29,11.14,11.62,12.35,14.29,36.32
Rioja (La),2023,extraordinary,specific,43.9,9.76,12.2,21.95,4.88,7.32
Rioja (La),2023,ordinary,specific,9.98,7.13,11.16,13.06,19,39.67
Rioja (La),2024,extraordinary,specific,47.62,7.14,11.9,16.67,4.76,11.9
Rioja (La),2024,ordinary,specific,9.24,7.96,13.38,18.79,19.43,31.21
Rioja (La),2025,extraordinary,specific,45.24,16.67,11.9,16.67,4.76,4.76
Rioja (La),2025,ordinary,specific,24.23,14.65,16.06,15.21,14.08,15.77
Total,2015,extraordinary,general,64.08,16.02,8.45,5.81,3.61,2.02
Total,2015,extraordinary,specific,65.69,14.08,7.7,5.87,3.67,2.98
Total,2015,ordinary,general,33.57,16.18,14.41,14.17,11.72,9.95
Total,2015,ordinary,specific,32.64,15.15,13.88,13.94,12.7,11.68
Total,2016,extraordinary,general,68.97,14.78,6.4,4.53,2.96,2.36
Total,2016,extraordinary,specific,66.28,13.8,7.55,5.13,4.01,3.24
Total,2016,ordinary,general,34.92,15.8,14.58,14.02,11.21,9.47
Total,2016,ordinary,specific,35.04,15.66,13.91,13.45,11.57,10.37
Total,2017,extraordinary,specific,60.23,15.02,10.44,6.62,4.62,3.06
Total,2017,ordinary,general,28.17,18.31,11.27,15.49,19.72,7.04
Total,2017,ordinary,specific,33.11,15.23,13.91,14.36,12.55,10.83
Total,2018,extraordinary,specific,64,14.13,8.01,6.14,4.36,3.37
Total,2018,ordinary,general,30.3,10.61,16.67,21.21,19.7,1.52
Total,2018,ordinary,specific,34.38,14.46,12.61,13.17,12.62,12.77
Total,2019,extraordinary,specific,61.37,15.2,8.88,6.52,4.59,3.44
Total,2019,ordinary,general,50.75,14.93,13.43,7.46,5.97,7.46
Total,2019,ordinary,specific,36.29,15.04,12.58,12.73,11.37,11.99
Total,2020,extraordinary,specific,54.8,12.65,10.05,7.81,8.04,6.65
Total,2020,ordinary,general,32.98,10.64,10.64,19.15,9.57,17.02
Total,2020,ordinary,specific,27.25,11.29,10.93,13.06,15.08,22.4
Total,2021,extraordinary,specific,60.04,13.68,8.51,6.56,5.44,5.76
Total,2021,ordinary,general,57.97,8.7,7.25,14.49,7.25,4.35
Total,2021,ordinary,specific,22.46,11.65,12.18,14.45,16.96,22.3
Total,2022,extraordinary,specific,52.04,14.62,10.21,8.87,7.39,6.86
Total,2022,ordinary,general,44.44,5.56,9.72,9.72,11.11,19.44
Total,2022,ordinary,specific,29.04,13.44,13.59,14.62,14.19,15.13
Total,2023,extraordinary,specific,54.58,14.58,10.05,8.27,6.71,5.81
Total,2023,ordinary,general,38.98,13.56,13.56,15.25,10.17,8.47
Total,2023,ordinary,specific,27.72,13.91,13.59,14.61,14.61,15.56
Total,2024,extraordinary,specific,61.39,14.61,8.49,6.78,4.56,4.17
Total,2024,ordinary,general,24.24,16.67,10.61,24.24,12.12,12.12
Total,2024,ordinary,specific,27.54,14.05,13.89,15.06,15.1,14.36
Total,2025,extraordinary,specific,64,14.05,8.07,6.2,4.51,3.16
Total,2025,ordinary,general,25,14.58,6.25,18.75,12.5,22.92
Total,2025,ordinary,specific,35.62,14.69,13.39,13.08,11.8,11.42
