x,pdf
3.56,0.13123
3.57,0.13117
3.58,0.1311
3.59,0.13104
3.6,0.13097
3.61,0.13091
3.62,0.13084
3.63,0.13077
3.64,0.1307
3.65,0.13064
3.66,0.13057
3.67,0.1305
3.68,0.13043
3.69,0.13036
3.7,0.13029
3.71,0.13022
3.72,0.13014
3.73,0.13007
3.74,0.13
3.75,0.12993
3.76,0.12985
3.77,0.12978
3.78,0.1297
3.79,0.12963
3.8,0.12955
3.81,0.12948
3.82,0.1294
3.83,0.12932
3.84,0.12925
3.85,0.12917
3.86,0.12909
3.87,0.12901
3.88,0.12893
3.89,0.12885
3.9,0.12877
3.91,0.12869
3.92,0.12861
3.93,0.12853
3.94,0.12845
3.95,0.12836
3.96,0.12828
3.97,0.1282
3.98,0.12811
3.99,0.12803
4,0.12794
4.01,0.12786
4.02,0.12777
4.03,0.12769
4.04,0.1276
4.05,0.12751
4.06,0.12743
4.07,0.12734
4.08,0.12725
4.09,0.12716
4.1,0.12707
4.11,0.12698
4.12,0.12689
4.13,0.1268
4.14,0.12671
4.15,0.12662
4.16,0.12653
4.17,0.12643
4.18,0.12634
4.19,0.12625
4.2,0.12615
4.21,0.12606
4.22,0.12597
4.23,0.12587
4.24,0.12578
4.25,0.12568
4.26,0.12558
4.27,0.12549
4.28,0.12539
4.29,0.12529
4.3,0.1252
4.31,0.1251
4.32,0.125
4.33,0.1249
4.34,0.1248
4.35,0.1247
4.36,0.1246
4.37,0.1245
4.38,0.1244
4.39,0.1243
4.4,0.12419
4.41,0.12409
4.42,0.12399
4.43,0.12388
4.44,0.12378
4.45,0.12368
4.46,0.12357
4.47,0.12347
4.48,0.12336
4.49,0.12326
4.5,0.12315
4.51,0.12304
4.52,0.12294
4.53,0.12283
4.54,0.12272
4.55,0.12261
4.56,0.12251
4.57,0.1224
4.58,0.12229
4.59,0.12218
4.6,0.12207
4.61,0.12196
4.62,0.12185
4.63,0.12173
4.64,0.12162
4.65,0.12151
4.66,0.1214
4.67,0.12128
4.68,0.12117
4.69,0.12106
4.7,0.12094
4.71,0.12083
4.72,0.12071
4.73,0.1206
4.74,0.12048
4.75,0.12037
4.76,0.12025
4.77,0.12013
4.78,0.12002
4.79,0.1199
4.8,0.11978
4.81,0.11966
4.82,0.11954
4.83,0.11942
4.84,0.11931
4.85,0.11919
4.86,0.11907
4.87,0.11894
4.88,0.11882
4.89,0.1187
4.9,0.11858
4.91,0.11846
4.92,0.11834
4.93,0.11821
4.94,0.11809
4.95,0.11797
4.96,0.11784
4.97,0.11772
4.98,0.11759
4.99,0.11747
5,0.11734
5.01,0.11722
5.02,0.11709
5.03,0.11696
5.04,0.11684
5.05,0.11671
5.06,0.11658
5.07,0.11645
5.08,0.11632
5.09,0.11619
5.1,0.11606
5.11,0.11594
5.12,0.11581
5.13,0.11567
5.14,0.11554
5.15,0.11541
5.16,0.11528
5.17,0.11515
5.18,0.11502
5.19,0.11488
5.2,0.11475
5.21,0.11462
5.22,0.11448
5.23,0.11435
5.24,0.11422
5.25,0.11408
5.26,0.11395
5.27,0.11381
5.28,0.11367
5.29,0.11354
5.3,0.1134
5.31,0.11326
5.32,0.11313
5.33,0.11299
5.34,0.11285
5.35,0.11271
5.36,0.11257
5.37,0.11244
5.38,0.1123
5.39,0.11216
5.4,0.11202
5.41,0.11187
5.42,0.11173
5.43,0.11159
5.44,0.11145
5.45,0.11131
5.46,0.11117
5.47,0.11102
5.48,0.11088
5.49,0.11074
5.5,0.11059
5.51,0.11045
5.52,0.1103
5.53,0.11016
5.54,0.11001
5.55,0.10987
5.56,0.10972
5.57,0.10958
5.58,0.10943
5.59,0.10928
5.6,0.10914
5.61,0.10899
5.62,0.10884
5.63,0.10869
5.64,0.10854
5.65,0.10839
5.66,0.10824
5.67,0.10809
5.68,0.10794
5.69,0.10779
5.7,0.10764
5.71,0.10749
5.72,0.10734
5.73,0.10719
5.74,0.10704
5.75,0.10688
5.76,0.10673
5.77,0.10658
5.78,0.10642
5.79,0.10627
5.8,0.10612
5.81,0.10596
5.82,0.10581
5.83,0.10565
5.84,0.10549
5.85,0.10534
5.86,0.10518
5.87,0.10503
5.88,0.10487
5.89,0.10471
5.9,0.10455
5.91,0.10439
5.92,0.10424
5.93,0.10408
5.94,0.10392
5.95,0.10376
5.96,0.1036
5.97,0.10344
5.98,0.10328
5.99,0.10312
6,0.10296
6.01,0.10279
6.02,0.10263
6.03,0.10247
6.04,0.10231
6.05,0.10214
6.06,0.10198
6.07,0.10182
6.08,0.10165
6.09,0.10149
6.1,0.10132
6.11,0.10116
6.12,0.10099
6.13,0.10083
6.14,0.10066
6.15,0.10049
6.16,0.10033
6.17,0.10016
6.18,0.099993
6.19,0.099825
6.2,0.099656
6.21,0.099488
6.22,0.099319
6.23,0.09915
6.24,0.09898
6.25,0.09881
6.26,0.09864
6.27,0.098469
6.28,0.098298
6.29,0.098127
6.3,0.097955
6.31,0.097783
6.32,0.097611
6.33,0.097438
6.34,0.097265
6.35,0.097091
6.36,0.096918
6.37,0.096743
6.38,0.096569
6.39,0.096394
6.4,0.096219
6.41,0.096044
6.42,0.095868
6.43,0.095692
6.44,0.095515
6.45,0.095338
6.46,0.095161
6.47,0.094983
6.48,0.094805
6.49,0.094627
6.5,0.094448
6.51,0.094269
6.52,0.09409
6.53,0.09391
6.54,0.09373
6.55,0.09355
6.56,0.093369
6.57,0.093188
6.58,0.093007
6.59,0.092825
6.6,0.092643
6.61,0.092461
6.62,0.092278
6.63,0.092095
6.64,0.091911
6.65,0.091727
6.66,0.091543
6.67,0.091359
6.68,0.091174
6.69,0.090988
6.7,0.090803
6.71,0.090617
6.72,0.09043
6.73,0.090244
6.74,0.090057
6.75,0.089869
6.76,0.089682
6.77,0.089494
6.78,0.089305
6.79,0.089116
6.8,0.088927
6.81,0.088738
6.82,0.088548
6.83,0.088358
6.84,0.088167
6.85,0.087976
6.86,0.087785
6.87,0.087593
6.88,0.087402
6.89,0.087209
6.9,0.087017
6.91,0.086824
6.92,0.08663
6.93,0.086436
6.94,0.086242
6.95,0.086048
6.96,0.085853
6.97,0.085658
6.98,0.085462
6.99,0.085266
7,0.08507
7.01,0.084873
7.02,0.084677
7.03,0.084479
7.04,0.084281
7.05,0.084083
7.06,0.083885
7.07,0.083686
7.08,0.083487
7.09,0.083288
7.1,0.083088
7.11,0.082887
7.12,0.082687
7.13,0.082486
7.14,0.082285
7.15,0.082083
7.16,0.081881
7.17,0.081678
7.18,0.081476
7.19,0.081272
7.2,0.081069
7.21,0.080865
7.22,0.080661
7.23,0.080456
7.24,0.080251
7.25,0.080046
7.26,0.07984
7.27,0.079634
7.28,0.079427
7.29,0.07922
7.3,0.079013
7.31,0.078805
7.32,0.078597
7.33,0.078389
7.34,0.07818
7.35,0.077971
7.36,0.077762
7.37,0.077552
7.38,0.077342
7.39,0.077131
7.4,0.07692
