x,pdf
3.53,0.11231
3.54,0.11252
3.55,0.11273
3.56,0.11294
3.57,0.11315
3.58,0.11336
3.59,0.11357
3.6,0.11378
3.61,0.11399
3.62,0.1142
3.63,0.1144
3.64,0.11461
3.65,0.11481
3.66,0.11502
3.67,0.11522
3.68,0.11543
3.69,0.11563
3.7,0.11583
3.71,0.11603
3.72,0.11623
3.73,0.11643
3.74,0.11663
3.75,0.11683
3.76,0.11703
3.77,0.11722
3.78,0.11742
3.79,0.11761
3.8,0.11781
3.81,0.118
3.82,0.1182
3.83,0.11839
3.84,0.11858
3.85,0.11877
3.86,0.11896
3.87,0.11916
3.88,0.11934
3.89,0.11953
3.9,0.11972
3.91,0.11991
3.92,0.1201
3.93,0.12028
3.94,0.12047
3.95,0.12065
3.96,0.12084
3.97,0.12102
3.98,0.1212
3.99,0.12138
4,0.12156
4.01,0.12174
4.02,0.12192
4.03,0.1221
4.04,0.12228
4.05,0.12246
4.06,0.12264
4.07,0.12281
4.08,0.12299
4.09,0.12316
4.1,0.12334
4.11,0.12351
4.12,0.12368
4.13,0.12385
4.14,0.12403
4.15,0.1242
4.16,0.12437
4.17,0.12454
4.18,0.1247
4.19,0.12487
4.2,0.12504
4.21,0.12521
4.22,0.12537
4.23,0.12554
4.24,0.1257
4.25,0.12586
4.26,0.12603
4.27,0.12619
4.28,0.12635
4.29,0.12651
4.3,0.12667
4.31,0.12683
4.32,0.12699
4.33,0.12715
4.34,0.1273
4.35,0.12746
4.36,0.12761
4.37,0.12777
4.38,0.12792
4.39,0.12808
4.4,0.12823
4.41,0.12838
4.42,0.12853
4.43,0.12868
4.44,0.12883
4.45,0.12898
4.46,0.12913
4.47,0.12928
4.48,0.12942
4.49,0.12957
4.5,0.12971
4.51,0.12986
4.52,0.13
4.53,0.13014
4.54,0.13029
4.55,0.13043
4.56,0.13057
4.57,0.13071
4.58,0.13085
4.59,0.13099
4.6,0.13112
4.61,0.13126
4.62,0.1314
4.63,0.13153
4.64,0.13167
4.65,0.1318
4.66,0.13194
4.67,0.13207
4.68,0.1322
4.69,0.13233
4.7,0.13246
4.71,0.13259
4.72,0.13272
4.73,0.13285
4.74,0.13297
4.75,0.1331
4.76,0.13323
4.77,0.13335
4.78,0.13347
4.79,0.1336
4.8,0.13372
4.81,0.13384
4.82,0.13396
4.83,0.13408
4.84,0.1342
4.85,0.13432
4.86,0.13444
4.87,0.13456
4.88,0.13467
4.89,0.13479
4.9,0.1349
4.91,0.13502
4.92,0.13513
4.93,0.13524
4.94,0.13535
4.95,0.13547
4.96,0.13558
4.97,0.13569
4.98,0.13579
4.99,0.1359
5,0.13601
5.01,0.13611
5.02,0.13622
5.03,0.13632
5.04,0.13643
5.05,0.13653
5.06,0.13663
5.07,0.13673
5.08,0.13683
5.09,0.13693
5.1,0.13703
5.11,0.13713
5.12,0.13723
5.13,0.13733
5.14,0.13742
5.15,0.13752
5.16,0.13761
5.17,0.1377
5.18,0.1378
5.19,0.13789
5.2,0.13798
5.21,0.13807
5.22,0.13816
5.23,0.13825
5.24,0.13833
5.25,0.13842
5.26,0.13851
5.27,0.13859
5.28,0.13868
5.29,0.13876
5.3,0.13884
5.31,0.13892
5.32,0.139
5.33,0.13908
5.34,0.13916
5.35,0.13924
5.36,0.13932
5.37,0.1394
5.38,0.13947
5.39,0.13955
5.4,0.13962
5.41,0.1397
5.42,0.13977
5.43,0.13984
5.44,0.13991
5.45,0.13998
5.46,0.14005
5.47,0.14012
5.48,0.14019
5.49,0.14025
5.5,0.14032
5.51,0.14038
5.52,0.14045
5.53,0.14051
5.54,0.14057
5.55,0.14063
5.56,0.14069
5.57,0.14075
5.58,0.14081
5.59,0.14087
5.6,0.14093
5.61,0.14098
5.62,0.14104
5.63,0.14109
5.64,0.14115
5.65,0.1412
5.66,0.14125
5.67,0.1413
5.68,0.14135
5.69,0.1414
5.7,0.14145
5.71,0.1415
5.72,0.14154
5.73,0.14159
5.74,0.14164
5.75,0.14168
5.76,0.14172
5.77,0.14176
5.78,0.14181
5.79,0.14185
5.8,0.14189
5.81,0.14192
5.82,0.14196
5.83,0.142
5.84,0.14203
5.85,0.14207
5.86,0.1421
5.87,0.14214
5.88,0.14217
5.89,0.1422
5.9,0.14223
5.91,0.14226
5.92,0.14229
5.93,0.14231
5.94,0.14234
5.95,0.14237
5.96,0.14239
5.97,0.14242
5.98,0.14244
5.99,0.14246
6,0.14248
6.01,0.1425
6.02,0.14252
6.03,0.14254
6.04,0.14256
6.05,0.14257
6.06,0.14259
6.07,0.1426
6.08,0.14262
6.09,0.14263
6.1,0.14264
6.11,0.14265
6.12,0.14266
6.13,0.14267
6.14,0.14268
6.15,0.14268
6.16,0.14269
6.17,0.14269
6.18,0.1427
6.19,0.1427
6.2,0.1427
6.21,0.1427
6.22,0.1427
6.23,0.1427
6.24,0.1427
6.25,0.1427
6.26,0.14269
6.27,0.14269
6.28,0.14268
6.29,0.14268
6.3,0.14267
6.31,0.14266
6.32,0.14265
6.33,0.14264
6.34,0.14263
6.35,0.14261
6.36,0.1426
6.37,0.14259
6.38,0.14257
6.39,0.14255
6.4,0.14253
6.41,0.14252
6.42,0.1425
6.43,0.14247
6.44,0.14245
6.45,0.14243
6.46,0.14241
6.47,0.14238
6.48,0.14235
6.49,0.14233
6.5,0.1423
6.51,0.14227
6.52,0.14224
6.53,0.14221
6.54,0.14218
6.55,0.14214
6.56,0.14211
6.57,0.14207
6.58,0.14204
6.59,0.142
6.6,0.14196
6.61,0.14192
6.62,0.14188
6.63,0.14184
6.64,0.14179
6.65,0.14175
6.66,0.1417
6.67,0.14166
6.68,0.14161
6.69,0.14156
6.7,0.14151
6.71,0.14146
6.72,0.14141
6.73,0.14136
6.74,0.1413
6.75,0.14125
6.76,0.14119
6.77,0.14114
6.78,0.14108
6.79,0.14102
6.8,0.14096
6.81,0.1409
6.82,0.14083
6.83,0.14077
6.84,0.14071
6.85,0.14064
6.86,0.14057
6.87,0.1405
6.88,0.14043
6.89,0.14036
6.9,0.14029
6.91,0.14022
6.92,0.14014
6.93,0.14007
6.94,0.13999
6.95,0.13992
6.96,0.13984
6.97,0.13976
6.98,0.13968
6.99,0.13959
7,0.13951
7.01,0.13943
7.02,0.13934
7.03,0.13925
7.04,0.13916
7.05,0.13907
7.06,0.13898
7.07,0.13889
7.08,0.1388
7.09,0.13871
7.1,0.13861
7.11,0.13851
7.12,0.13842
7.13,0.13832
7.14,0.13822
7.15,0.13811
7.16,0.13801
7.17,0.13791
7.18,0.1378
7.19,0.1377
7.2,0.13759
7.21,0.13748
7.22,0.13737
7.23,0.13726
7.24,0.13715
7.25,0.13703
7.26,0.13692
7.27,0.1368
7.28,0.13668
7.29,0.13656
7.3,0.13644
7.31,0.13632
7.32,0.1362
7.33,0.13607
7.34,0.13595
7.35,0.13582
7.36,0.13569
7.37,0.13556
7.38,0.13543
7.39,0.1353
7.4,0.13517
7.41,0.13503
7.42,0.1349
7.43,0.13476
7.44,0.13462
7.45,0.13448
7.46,0.13434
7.47,0.13419
7.48,0.13405
7.49,0.1339
7.5,0.13376
7.51,0.13361
7.52,0.13346
7.53,0.13331
7.54,0.13316
7.55,0.133
7.56,0.13285
7.57,0.13269
7.58,0.13253
7.59,0.13237
7.6,0.13221
7.61,0.13205
7.62,0.13188
7.63,0.13172
7.64,0.13155
7.65,0.13138
7.66,0.13121
7.67,0.13104
7.68,0.13087
7.69,0.1307
7.7,0.13052
7.71,0.13034
7.72,0.13017
7.73,0.12999
7.74,0.1298
7.75,0.12962
7.76,0.12944
7.77,0.12925
7.78,0.12906
7.79,0.12887
7.8,0.12868
7.81,0.12849
7.82,0.1283
7.83,0.1281
7.84,0.1279
7.85,0.1277
7.86,0.1275
7.87,0.1273
7.88,0.1271
7.89,0.12689
7.9,0.12669
7.91,0.12648
7.92,0.12627
7.93,0.12606
7.94,0.12585
7.95,0.12563
7.96,0.12541
7.97,0.1252
7.98,0.12498
7.99,0.12476
8,0.12453
8.01,0.12431
8.02,0.12408
8.03,0.12385
8.04,0.12362
8.05,0.12339
8.06,0.12316
8.07,0.12292
8.08,0.12269
8.09,0.12245
8.1,0.12221
8.11,0.12197
8.12,0.12172
8.13,0.12148
8.14,0.12123
8.15,0.12098
8.16,0.12073
8.17,0.12048
8.18,0.12022
8.19,0.11996
8.2,0.11971
8.21,0.11945
8.22,0.11918
8.23,0.11892
8.24,0.11865
8.25,0.11839
8.26,0.11812
8.27,0.11784
8.28,0.11757
8.29,0.11729
8.3,0.11702
8.31,0.11674
8.32,0.11646
8.33,0.11617
8.34,0.11589
8.35,0.1156
8.36,0.11531
8.37,0.11502
8.38,0.11472
8.39,0.11443
8.4,0.11413
8.41,0.11383
8.42,0.11353
8.43,0.11322
8.44,0.11292
8.45,0.11261
8.46,0.1123
8.47,0.11199
8.48,0.11167
8.49,0.11135
8.5,0.11103
8.51,0.11071
8.52,0.11039
8.53,0.11006
8.54,0.10973
8.55,0.1094
8.56,0.10907
8.57,0.10873
8.58,0.1084
8.59,0.10805
8.6,0.10771
8.61,0.10737
8.62,0.10702
8.63,0.10667
8.64,0.10632
8.65,0.10596
8.66,0.10561
8.67,0.10525
8.68,0.10488
8.69,0.10452
8.7,0.10415
8.71,0.10378
8.72,0.10341
8.73,0.10303
8.74,0.10266
8.75,0.10227
8.76,0.10189
8.77,0.10151
8.78,0.10112
8.79,0.10072
8.8,0.10033
8.81,0.099933
8.82,0.099533
8.83,0.099131
8.84,0.098725
8.85,0.098316
8.86,0.097905
8.87,0.09749
8.88,0.097072
8.89,0.096652
8.9,0.096228
8.91,0.095801
8.92,0.095371
8.93,0.094938
8.94,0.094502
8.95,0.094062
8.96,0.09362
8.97,0.093174
8.98,0.092724
8.99,0.092271
9,0.091815
9.01,0.091356
9.02,0.090893
9.03,0.090426
9.04,0.089956
9.05,0.089483
9.06,0.089005
9.07,0.088524
9.08,0.08804
9.09,0.087551
9.1,0.087059
9.11,0.086563
9.12,0.086063
9.13,0.085559
9.14,0.085051
9.15,0.084539
9.16,0.084023
9.17,0.083503
9.18,0.082978
9.19,0.082449
9.2,0.081916
9.21,0.081379
9.22,0.080837
9.23,0.08029
9.24,0.079739
9.25,0.079183
9.26,0.078623
9.27,0.078057
9.28,0.077487
9.29,0.076912
9.3,0.076331
9.31,0.075746
9.32,0.075155
9.33,0.074559
9.34,0.073958
9.35,0.073351
9.36,0.072738
9.37,0.07212
9.38,0.071496
9.39,0.070866
9.4,0.07023
9.41,0.069588
9.42,0.06894
9.43,0.068285
9.44,0.067623
9.45,0.066955
9.46,0.06628
9.47,0.065598
9.48,0.064909
9.49,0.064213
9.5,0.063509
9.51,0.062797
9.52,0.062078
9.53,0.06135
9.54,0.060614
9.55,0.05987
9.56,0.059117
9.57,0.058355
9.58,0.057584
9.59,0.056803
9.6,0.056012
9.61,0.055212
9.62,0.0544
9.63,0.053579
9.64,0.052745
9.65,0.051901
9.66,0.051044
9.67,0.050175
9.68,0.049293
9.69,0.048398
9.7,0.047489
9.71,0.046565
9.72,0.045626
9.73,0.044671
9.74,0.0437
9.75,0.042711
9.76,0.041703
9.77,0.040676
9.78,0.039629
9.79,0.03856
9.8,0.037468
9.81,0.036351
9.82,0.035207
9.83,0.034036
9.84,0.032834
9.85,0.031599
9.86,0.030327
9.87,0.029017
9.88,0.027662
9.89,0.026259
9.9,0.024801
9.91,0.023281
9.92,0.021689
9.93,0.020013
9.94,0.018236
9.95,0.016333
9.96,0.014269
9.97,0.011985
9.98,0.0093686
9.99,0.0061449
10,0
