ccaa,year,mean,pass_pct,source
Madrid (Comunidad de),2022,5.93,69.18,ministry
Madrid (Comunidad de),2023,6.82,80.77,ministry
Madrid (Comunidad de),2024,6.27,75.47,ministry
Madrid (Comunidad de),2025,5.65,61.76,ministry
Madrid (Comunidad de),2026,6.7,,found 2026
Murcia (Región de),2015,5.928,70.69,ministry
Murcia (Región de),2016,5.266,58.06,ministry
Murcia (Región de),2017,5.8,69.63,ministry
Murcia (Región de),2018,5.48,62.08,ministry
Murcia (Región de),2019,5.47,62.66,ministry
Murcia (Región de),2020,5.45,62.39,ministry
Murcia (Región de),2021,6.27,71.23,ministry
Murcia (Región de),2022,5.38,61.58,ministry
Murcia (Región de),2023,5.42,61.34,ministry
Murcia (Región de),2024,6.47,76.06,ministry
Murcia (Región de),2025,5.31,60.51,ministry
Navarra (Comunidad Foral de),2015,5.354,61.48,ministry
Navarra (Comunidad Foral de),2016,5.26,60.44,ministry
Navarra (Comunidad Foral de),2017,4.73,52.17,ministry
Navarra (Comunidad Foral de),2018,5.38,59.57,ministry
Navarra (Comunidad Foral de),2019,5.35,61.48,ministry
Navarra (Comunidad Foral de),2020,6.11,70.49,ministry
Navarra (Comunidad Foral de),2021,6.88,81.52,ministry
Navarra (Comunidad Foral de),2022,6.09,69.79,ministry
Navarra (Comunidad Foral de),2023,6.13,73.68,ministry
Navarra (Comunidad Foral de),2024,6.8,78.62,ministry
Navarra (Comunidad Foral de),2025,5.36,60.93,ministry
País Vasco,2010,4.45,46.3,EHU informe
País Vasco,2011,4.44,49.58,EHU informe
País Vasco,2012,6.49,76.8,EHU informe
País Vasco,2013,6.16,75.26,EHU informe
País Vasco,2014,5.68,65.9,EHU informe
País Vasco,2015,5.44,61.61,ministry
País Vasco,2016,6.139,72.22,ministry
País Vasco,2017,5.89,67.02,ministry
País Vasco,2018,6.16,70.67,ministry
País Vasco,2019,5.87,66.25,ministry
País Vasco,2020,6.44,75.15,ministry
País Vasco,2021,7.68,89.4,ministry
País Vasco,2022,6.06,69.35,ministry
País Vasco,2023,6.3,70.71,ministry
País Vasco,2024,6.09,72.99,ministry
País Vasco,2025,5.47,62.31,ministry
País Vasco,2026,3.99,39.8,found 2026
Rioja (La),2010,4.489,41.84,UR chart
Rioja (La),2011,5.491,63.59,UR chart
Rioja (La),2012,6.726,82.27,UR chart
Rioja (La),2013,5.629,66.29,UR chart
Rioja (La),2014,6.167,72.55,UR chart
Rioja (La),2015,5.786,67.19,ministry
Rioja (La),2016,6.102,74.3,ministry
Rioja (La),2017,6.33,75.5,ministry
Rioja (La),2018,6.61,79.36,ministry
Rioja (La),2019,6.15,74.81,ministry
Rioja (La),2020,6.97,79.94,ministry
Rioja (La),2021,8.31,94.44,ministry
Rioja (La),2022,7.43,85.71,ministry
Rioja (La),2023,7.85,90.02,ministry
Rioja (La),2024,7.66,90.76,ministry
Rioja (La),2025,6.39,75.77,ministry
Total,2015,5.826,67.5,ministry
Total,2016,5.677,65.23,ministry
Total,2017,5.76,66.9,ministry
Total,2018,5.76,65.63,ministry
Total,2019,5.598,63.69,ministry
Total,2020,6.369,72.74,ministry
Total,2021,6.637,77.49,ministry
Total,2022,6.109,70.94,ministry
Total,2023,6.179,72.27,ministry
Total,2024,6.15,72.47,ministry
Total,2025,5.651,64.39,ministry
