ccaa,file_2025,file_2026,words_2025,words_2026,words_2025_nb,words_2026_nb,words_2025_raw,words_2026_raw,len_change,len_change_nb,len_change_raw,delta
Andalucía,and_2025_ord,and_2026_ord,1199,1246,1173,1135,1199,1246,3.9199332777314355,-3.239556692242118,3.9199332777314355,0.17
Asturias (Principado de),ast_2025_ord,ast_2026_ord,1000,899,967,843,1000,899,-10.099999999999998,-12.823164426059975,-10.099999999999998,1.13
Canarias,can_2025_ord,can_2026_ord,813,922,684,851,813,922,13.40713407134071,24.415204678362578,13.40713407134071,-0.832
Cataluña,cat_2025_ord,cat_2026_ord,1548,1628,1548,1628,1548,1628,5.167958656330751,5.167958656330751,5.167958656330751,0.8
Extremadura,ext_2025_ord,ext_2026_ord,1233,1473,1152,1416,1233,1473,19.4647201946472,22.916666666666675,19.4647201946472,-0.82
Madrid (Comunidad de),mad_2025_ord,mad_2026_ord,1127,1093,960,917,3737,4070,-3.0168589174800364,-4.479166666666668,8.910891089108919,1.05
País Vasco,pv_2025_ord_es,pv_2026_ord,1335,1940,1290,1854,1452,2026,45.31835205992509,43.72093023255814,39.53168044077135,-1.48
Comunitat Valenciana,val_2025_ord,val_2026_ord,1226,1150,1135,1064,2485,2325,-6.199021207177813,-6.255506607929517,-6.438631790744465,0.506
